"Region","RegionName","State","ForecastYoYPctChange","MSAName","CountyName","CityName"
"National","United States","US",3.09583120023388,NA,NA,NA
"MSA","Akron, OH","OH",2.97357453362269,"Akron, OH",NA,NA
"MSA","Albany, GA","GA",3.77538263298567,"Albany, GA",NA,NA
"MSA","Albany, NY","NY",1.49837063497816,"Albany, NY",NA,NA
"MSA","Albuquerque, NM","NM",1.17632019497569,"Albuquerque, NM",NA,NA
"MSA","Alexandria, LA","LA",2.15629435145386,"Alexandria, LA",NA,NA
"MSA","Allentown, PA","PA",3.06600063204813,"Allentown, PA",NA,NA
"MSA","Altoona, PA","PA",4.57486465610402,"Altoona, PA",NA,NA
"MSA","Amarillo, TX","TX",3.04766360536156,"Amarillo, TX",NA,NA
"MSA","Ames, IA","IA",3.72119090070318,"Ames, IA",NA,NA
"MSA","Anchorage, AK","AK",4.45401454387724,"Anchorage, AK",NA,NA
"MSA","Ann Arbor, MI","MI",5.17531361562781,"Ann Arbor, MI",NA,NA
"MSA","Appleton, WI","WI",4.06680275748074,"Appleton, WI",NA,NA
"MSA","Asheville, NC","NC",2.14895087174733,"Asheville, NC",NA,NA
"MSA","Athens, GA","GA",4.28311405198765,"Athens, GA",NA,NA
"MSA","Atlanta, GA","GA",5.23989970172216,"Atlanta, GA",NA,NA
"MSA","Atlantic City, NJ","NJ",2.09090985864022,"Atlantic City, NJ",NA,NA
"MSA","Auburn, AL","AL",2.93202331411203,"Auburn, AL",NA,NA
"MSA","Augusta, GA","GA",3.62397413153525,"Augusta, GA",NA,NA
"MSA","Austin, TX","TX",3.33854788395387,"Austin, TX",NA,NA
"MSA","Bakersfield, CA","CA",2.92644013153808,"Bakersfield, CA",NA,NA
"MSA","Baltimore, MD","MD",2.91560811154075,"Baltimore, MD",NA,NA
"MSA","Bangor, ME","ME",2.46446936506936,"Bangor, ME",NA,NA
"MSA","Cape Cod, MA","MA",4.10996935558009,"Cape Cod, MA",NA,NA
"MSA","Baton Rouge, LA","LA",3.00393852174281,"Baton Rouge, LA",NA,NA
"MSA","Battle Creek, MI","MI",3.0873091425475,"Battle Creek, MI",NA,NA
"MSA","Bay City, MI","MI",2.20302829310036,"Bay City, MI",NA,NA
"MSA","Bellingham, WA","WA",3.01131141512339,"Bellingham, WA",NA,NA
"MSA","Bend, OR","OR",2.15192059439715,"Bend, OR",NA,NA
"MSA","Billings, MT","MT",1.04411367966563,"Billings, MT",NA,NA
"MSA","Binghamton, NY","NY",3.48269337108788,"Binghamton, NY",NA,NA
"MSA","Birmingham, AL","AL",3.65899038755916,"Birmingham, AL",NA,NA
"MSA","Bismarck, ND","ND",3.60729295047272,"Bismarck, ND",NA,NA
"MSA","Blacksburg, VA","VA",0.860411461545382,"Blacksburg, VA",NA,NA
"MSA","Bloomington, IN","IN",3.7535464605752,"Bloomington, IN",NA,NA
"MSA","Boise City, ID","ID",2.90594861522082,"Boise City, ID",NA,NA
"MSA","Boston, MA","MA",2.86661656746867,"Boston, MA",NA,NA
"MSA","Boulder, CO","CO",1.91485711300832,"Boulder, CO",NA,NA
"MSA","Bowling Green, KY","KY",3.25574625366165,"Bowling Green, KY",NA,NA
"MSA","Bremerton, WA","WA",0.623842478915711,"Bremerton, WA",NA,NA
"MSA","Stamford, CT","CT",1.58787733679648,"Stamford, CT",NA,NA
"MSA","Brownsville, TX","TX",4.19936808973131,"Brownsville, TX",NA,NA
"MSA","Brunswick, GA","GA",3.33748093161323,"Brunswick, GA",NA,NA
"MSA","Buffalo, NY","NY",5.10235577201276,"Buffalo, NY",NA,NA
"MSA","Burlington, NC","NC",3.22321952152066,"Burlington, NC",NA,NA
"MSA","Burlington, VT","VT",2.81213762292134,"Burlington, VT",NA,NA
"MSA","Canton, OH","OH",2.72864884043111,"Canton, OH",NA,NA
"MSA","Fort Myers, FL","FL",2.88747482638453,"Fort Myers, FL",NA,NA
"MSA","Cape Girardeau, MO","MO",3.25522973219077,"Cape Girardeau, MO",NA,NA
"MSA","Carson City, NV","NV",7.37693613953063,"Carson City, NV",NA,NA
"MSA","Casper, WY","WY",0.436408001234676,"Casper, WY",NA,NA
"MSA","Cedar Rapids, IA","IA",3.72071895811861,"Cedar Rapids, IA",NA,NA
"MSA","Champaign-Urbana, IL","IL",2.95309122618129,"Champaign-Urbana, IL",NA,NA
"MSA","Charleston, WV","WV",3.77564434787153,"Charleston, WV",NA,NA
"MSA","Charlotte, NC","NC",4.15350640486013,"Charlotte, NC",NA,NA
"MSA","Charlottesville, VA","VA",2.91855609325232,"Charlottesville, VA",NA,NA
"MSA","Chattanooga, TN","TN",3.42378608857736,"Chattanooga, TN",NA,NA
"MSA","Cheyenne, WY","WY",3.04498675816416,"Cheyenne, WY",NA,NA
"MSA","Chicago, IL","IL",3.27504875149602,"Chicago, IL",NA,NA
"MSA","Chico, CA","CA",3.87952861480967,"Chico, CA",NA,NA
"MSA","Cincinnati, OH","OH",2.67778517648557,"Cincinnati, OH",NA,NA
"MSA","Clarksville, TN","TN",4.05245678137713,"Clarksville, TN",NA,NA
"MSA","Cleveland, TN","TN",3.23528374170599,"Cleveland, TN",NA,NA
"MSA","Cleveland, OH","OH",2.52852131328524,"Cleveland, OH",NA,NA
"MSA","College Station, TX","TX",2.80886377333944,"College Station, TX",NA,NA
"MSA","Colorado Springs, CO","CO",3.98854433734614,"Colorado Springs, CO",NA,NA
"MSA","Columbia, MO","MO",2.7383201536988,"Columbia, MO",NA,NA
"MSA","Columbia, SC","SC",3.45777718925337,"Columbia, SC",NA,NA
"MSA","Columbus, GA","GA",3.9750287608322,"Columbus, GA",NA,NA
"MSA","Columbus, IN","IN",3.26639301872903,"Columbus, IN",NA,NA
"MSA","Columbus, OH","OH",3.39707467813079,"Columbus, OH",NA,NA
"MSA","Corvallis, OR","OR",4.24642734431689,"Corvallis, OR",NA,NA
"MSA","Cumberland, MD","MD",3.90871345999899,"Cumberland, MD",NA,NA
"MSA","Dallas-Fort Worth, TX","TX",4.59739948382022,"Dallas-Fort Worth, TX",NA,NA
"MSA","Dalton, GA","GA",3.83761785483033,"Dalton, GA",NA,NA
"MSA","Danville, VA","VA",3.44678082053878,"Danville, VA",NA,NA
"MSA","Davenport, IL","IA",2.9191437302941,"Davenport, IA",NA,NA
"MSA","Dayton, OH","OH",2.46800649168406,"Dayton, OH",NA,NA
"MSA","Decatur, IL","IL",6.33087308863805,"Decatur, IL",NA,NA
"MSA","Daytona Beach, FL","FL",3.82890653175081,"Daytona Beach, FL",NA,NA
"MSA","Denver, CO","CO",2.91490017064912,"Denver, CO",NA,NA
"MSA","Des Moines, IA","IA",3.69173024340473,"Des Moines, IA",NA,NA
"MSA","Detroit, MI","MI",3.66436064098031,"Detroit, MI",NA,NA
"MSA","Dover, DE","DE",2.17445107867645,"Dover, DE",NA,NA
"MSA","Dubuque, IA","IA",3.65781845691038,"Dubuque, IA",NA,NA
"MSA","Duluth, MN","MN",3.48840690637302,"Duluth, MN",NA,NA
"MSA","Durham, NC","NC",4.20738523094209,"Durham, NC",NA,NA
"MSA","Eau Claire, WI","WI",2.84804156477313,"Eau Claire, WI",NA,NA
"MSA","El Centro, CA","CA",5.25196684159206,"El Centro, CA",NA,NA
"MSA","El Paso, TX","TX",2.55801489334137,"El Paso, TX",NA,NA
"MSA","Elizabethtown, KY","KY",3.82934077874216,"Elizabethtown, KY",NA,NA
"MSA","Elkhart, IN","IN",2.34438217972861,"Elkhart, IN",NA,NA
"MSA","Elmira, NY","NY",3.09163389635622,"Elmira, NY",NA,NA
"MSA","Erie, PA","PA",2.04928696355661,"Erie, PA",NA,NA
"MSA","Eugene, OR","OR",4.09036170509338,"Eugene, OR",NA,NA
"MSA","Evansville, IN","IN",2.58699048013621,"Evansville, IN",NA,NA
"MSA","Fairbanks, AK","AK",5.17369084751044,"Fairbanks, AK",NA,NA
"MSA","Fargo, ND","ND",2.83151291662282,"Fargo, ND",NA,NA
"MSA","Farmington, NM","NM",5.54476413484069,"Farmington, NM",NA,NA
"MSA","Fayetteville, NC","NC",4.1498281359816,"Fayetteville, NC",NA,NA
"MSA","Fayetteville, AR","AR",3.12833238301542,"Fayetteville, AR",NA,NA
"MSA","Flagstaff, AZ","AZ",1.03219578469572,"Flagstaff, AZ",NA,NA
"MSA","Flint, MI","MI",4.24112906614768,"Flint, MI",NA,NA
"MSA","Florence, SC","SC",2.20961292910787,"Florence, SC",NA,NA
"MSA","Fond du Lac, WI","WI",3.38056197815511,"Fond du Lac, WI",NA,NA
"MSA","Fort Collins, CO","CO",2.28828095178197,"Fort Collins, CO",NA,NA
"MSA","Fort Smith, AR","AR",3.44258448580783,"Fort Smith, AR",NA,NA
"MSA","Fort Wayne, IN","IN",2.94928681399196,"Fort Wayne, IN",NA,NA
"MSA","Fresno, CA","CA",2.7749208042545,"Fresno, CA",NA,NA
"MSA","Gadsden, AL","AL",-1.17890095692238,"Gadsden, AL",NA,NA
"MSA","Gainesville, FL","FL",2.24409811574288,"Gainesville, FL",NA,NA
"MSA","Gainesville, GA","GA",3.56407190106233,"Gainesville, GA",NA,NA
"MSA","Glens Falls, NY","NY",2.31313189370671,"Glens Falls, NY",NA,NA
"MSA","Grand Junction, CO","CO",3.939130903146,"Grand Junction, CO",NA,NA
"MSA","Grand Rapids, MI","MI",3.77303797160849,"Grand Rapids, MI",NA,NA
"MSA","Great Falls, MT","MT",2.61609759128424,"Great Falls, MT",NA,NA
"MSA","Greeley, CO","CO",4.45331282908153,"Greeley, CO",NA,NA
"MSA","Green Bay, WI","WI",3.57766354723542,"Green Bay, WI",NA,NA
"MSA","Greensboro, NC","NC",3.51374773194954,"Greensboro, NC",NA,NA
"MSA","Greenville, NC","NC",3.5712936339914,"Greenville, NC",NA,NA
"MSA","Greenville, SC","SC",2.76468114277025,"Greenville, SC",NA,NA
"MSA","Gulfport, MS","MS",5.25867344651828,"Gulfport, MS",NA,NA
"MSA","Hagerstown, MD","WV",4.09103211671189,"Hagerstown, WV",NA,NA
"MSA","Hanford, CA","CA",4.94094029802422,"Hanford, CA",NA,NA
"MSA","Harrisburg, PA","PA",2.61234043415793,"Harrisburg, PA",NA,NA
"MSA","Harrisonburg, VA","VA",1.37238127858461,"Harrisonburg, VA",NA,NA
"MSA","Hartford, CT","CT",3.11934812161846,"Hartford, CT",NA,NA
"MSA","Hattiesburg, MS","MS",3.06407356081248,"Hattiesburg, MS",NA,NA
"MSA","Hickory, NC","NC",3.34244771203853,"Hickory, NC",NA,NA
"MSA","Hinesville, GA","GA",5.94818145929052,"Hinesville, GA",NA,NA
"MSA","Hot Springs, AR","AR",3.47027516829383,"Hot Springs, AR",NA,NA
"MSA","Houma, LA","LA",2.78207121784268,"Houma, LA",NA,NA
"MSA","Houston, TX","TX",2.77688819232241,"Houston, TX",NA,NA
"MSA","Huntington, WV","WV",3.91282880412333,"Huntington, WV",NA,NA
"MSA","Idaho Falls, ID","ID",4.16004125188088,"Idaho Falls, ID",NA,NA
"MSA","Indianapolis, IN","IN",3.23420125329652,"Indianapolis, IN",NA,NA
"MSA","Iowa City, IA","IA",3.3342192736011,"Iowa City, IA",NA,NA
"MSA","Ithaca, NY","NY",1.99105432780679,"Ithaca, NY",NA,NA
"MSA","Jackson, MI","MI",4.81102922163362,"Jackson, MI",NA,NA
"MSA","Jackson, MS","MS",3.1050104747976,"Jackson, MS",NA,NA
"MSA","Jackson, TN","TN",4.67039580072896,"Jackson, TN",NA,NA
"MSA","Jacksonville, FL","FL",3.38490102577474,"Jacksonville, FL",NA,NA
"MSA","Jacksonville, NC","NC",3.86470382214818,"Jacksonville, NC",NA,NA
"MSA","Janesville, WI","WI",2.98033780650795,"Janesville, WI",NA,NA
"MSA","Jefferson City, MO","MO",3.2942483249631,"Jefferson City, MO",NA,NA
"MSA","Johnson City, TN","TN",3.31123582116296,"Johnson City, TN",NA,NA
"MSA","Johnstown, PA","PA",0.0877599610179911,"Johnstown, PA",NA,NA
"MSA","Jonesboro, AR","AR",4.57944411867421,"Jonesboro, AR",NA,NA
"MSA","Joplin, MO","MO",2.69670872944243,"Joplin, MO",NA,NA
"MSA","Kalamazoo, MI","MI",3.15837951937783,"Kalamazoo, MI",NA,NA
"MSA","Kankakee, IL","IL",3.36675448123074,"Kankakee, IL",NA,NA
"MSA","Kansas City, MO","MO",2.96373050339765,"Kansas City, MO",NA,NA
"MSA","Kennewick, WA","WA",5.70151532000369,"Kennewick, WA",NA,NA
"MSA","Killeen, TX","TX",3.15847500882975,"Killeen, TX",NA,NA
"MSA","Kingsport, TN","TN",2.76999493147757,"Kingsport, TN",NA,NA
"MSA","Kingston, NY","NY",3.17799096220249,"Kingston, NY",NA,NA
"MSA","Knoxville, TN","TN",4.69852332880116,"Knoxville, TN",NA,NA
"MSA","Kokomo, IN","IN",3.06963964959419,"Kokomo, IN",NA,NA
"MSA","La Crosse, WI","WI",0.880999196715925,"La Crosse, WI",NA,NA
"MSA","Lafayette, LA","LA",1.82357339490806,"Lafayette, LA",NA,NA
"MSA","Lake Charles, LA","LA",2.41575257888029,"Lake Charles, LA",NA,NA
"MSA","Lake Havasu City, AZ","AZ",4.48830230371103,"Lake Havasu City, AZ",NA,NA
"MSA","Lakeland, FL","FL",3.1137392853178,"Lakeland, FL",NA,NA
"MSA","Lancaster, PA","PA",2.8157228558259,"Lancaster, PA",NA,NA
"MSA","Lansing, MI","MI",3.72814481481992,"Lansing, MI",NA,NA
"MSA","Laredo, TX","TX",3.9651874226734,"Laredo, TX",NA,NA
"MSA","Las Cruces, NM","NM",2.79215218241732,"Las Cruces, NM",NA,NA
"MSA","Las Vegas, NV","NV",5.87790183568326,"Las Vegas, NV",NA,NA
"MSA","Lawrence, KS","KS",2.82264150195319,"Lawrence, KS",NA,NA
"MSA","Lawton, OK","OK",1.51553401420951,"Lawton, OK",NA,NA
"MSA","Lebanon, PA","PA",3.2836761611885,"Lebanon, PA",NA,NA
"MSA","Lewiston, ID","ID",2.69966347926014,"Lewiston, ID",NA,NA
"MSA","Lewiston, ME","ME",3.58281101180665,"Lewiston, ME",NA,NA
"MSA","Lexington, KY","KY",3.44363358749764,"Lexington, KY",NA,NA
"MSA","Lima, OH","OH",1.9758466743154,"Lima, OH",NA,NA
"MSA","Lincoln, NE","NE",3.8255098933364,"Lincoln, NE",NA,NA
"MSA","Little Rock, AR","AR",3.11258455759308,"Little Rock, AR",NA,NA
"MSA","Longview, WA","WA",5.85805660124273,"Longview, WA",NA,NA
"MSA","Louisville-Jefferson County, KY","KY",3.3304659691789,"Louisville/Jefferson County, KY",NA,NA
"MSA","Lynchburg, VA","VA",2.64879529121794,"Lynchburg, VA",NA,NA
"MSA","Macon, GA","GA",4.44027198317479,"Macon, GA",NA,NA
"MSA","Madera, CA","CA",5.43091260423682,"Madera, CA",NA,NA
"MSA","Madison, WI","WI",3.16820753259193,"Madison, WI",NA,NA
"MSA","Manchester, NH","NH",3.83770271368528,"Manchester, NH",NA,NA
"MSA","Manhattan, KS","KS",1.80953118261626,"Manhattan, KS",NA,NA
"MSA","Mankato, MN","MN",3.73429508317115,"Mankato, MN",NA,NA
"MSA","Mansfield, OH","OH",2.86516336140197,"Mansfield, OH",NA,NA
"MSA","Medford, OR","OR",3.60036492714593,"Medford, OR",NA,NA
"MSA","Memphis, TN","TN",3.95919432837775,"Memphis, TN",NA,NA
"MSA","Merced, CA","CA",5.59032266729203,"Merced, CA",NA,NA
"MSA","Miami-Fort Lauderdale, FL","FL",1.58200562741454,"Miami-Fort Lauderdale, FL",NA,NA
"MSA","Midland, TX","TX",3.94336964033138,"Midland, TX",NA,NA
"MSA","Milwaukee, WI","WI",3.0022168869799,"Milwaukee, WI",NA,NA
"MSA","Minneapolis-St Paul, MN","MN",2.32263860283999,"Minneapolis-St Paul, MN",NA,NA
"MSA","Missoula, MT","MT",0.283167087616558,"Missoula, MT",NA,NA
"MSA","Mobile, AL","AL",3.31990498119015,"Mobile, AL",NA,NA
"MSA","Modesto, CA","CA",2.29271698494297,"Modesto, CA",NA,NA
"MSA","Monroe, MI","MI",2.64249702736264,"Monroe, MI",NA,NA
"MSA","Montgomery, AL","AL",3.63100126300169,"Montgomery, AL",NA,NA
"MSA","Morgantown, WV","WV",3.45296719400502,"Morgantown, WV",NA,NA
"MSA","Morristown, TN","TN",3.84038964831195,"Morristown, TN",NA,NA
"MSA","Mount Vernon, WA","WA",5.98554974050048,"Mount Vernon, WA",NA,NA
"MSA","Muncie, IN","IN",3.29701096515953,"Muncie, IN",NA,NA
"MSA","Muskegon, MI","MI",2.13079083332435,"Muskegon, MI",NA,NA
"MSA","Myrtle Beach, SC","SC",1.73155971655045,"Myrtle Beach, SC",NA,NA
"MSA","Napa, CA","CA",2.17180044272025,"Napa, CA",NA,NA
"MSA","Naples, FL","FL",0.693878286264935,"Naples, FL",NA,NA
"MSA","Nashville, TN","TN",3.86278439368739,"Nashville, TN",NA,NA
"MSA","New Haven, CT","CT",1.02529350171367,"New Haven, CT",NA,NA
"MSA","New York, NY","NY",3.20225850105795,"New York, NY",NA,NA
"MSA","Niles, MI","MI",2.57828864393692,"Niles, MI",NA,NA
"MSA","New London, CT","CT",1.95293538387824,"New London, CT",NA,NA
"MSA","Ocala, FL","FL",4.11850357945752,"Ocala, FL",NA,NA
"MSA","Ocean City, NJ","NJ",1.78182956364941,"Ocean City, NJ",NA,NA
"MSA","Ogden, UT","UT",2.27000332368682,"Ogden, UT",NA,NA
"MSA","Oklahoma City, OK","OK",3.10742583852235,"Oklahoma City, OK",NA,NA
"MSA","Olympia, WA","WA",3.80042401142993,"Olympia, WA",NA,NA
"MSA","Omaha, NE","NE",3.30057361810356,"Omaha, NE",NA,NA
"MSA","Orlando, FL","FL",4.18149928578665,"Orlando, FL",NA,NA
"MSA","Oshkosh, WI","WI",3.92477317414272,"Oshkosh, WI",NA,NA
"MSA","Owensboro, KY","KY",3.54745684395574,"Owensboro, KY",NA,NA
"MSA","Ventura, CA","CA",2.34238360503107,"Ventura, CA",NA,NA
"MSA","Melbourne, FL","FL",3.60925880165443,"Melbourne, FL",NA,NA
"MSA","Panama City, FL","FL",3.7811121040754,"Panama City, FL",NA,NA
"MSA","Parkersburg, WV","WV",3.21213187067659,"Parkersburg, WV",NA,NA
"MSA","Pensacola, FL","FL",3.62248816250239,"Pensacola, FL",NA,NA
"MSA","Peoria, IL","IL",3.27004171756741,"Peoria, IL",NA,NA
"MSA","Philadelphia, PA","PA",2.04156237099313,"Philadelphia, PA",NA,NA
"MSA","Phoenix, AZ","AZ",2.82730293370897,"Phoenix, AZ",NA,NA
"MSA","Pittsburgh, PA","PA",2.63083301306882,"Pittsburgh, PA",NA,NA
"MSA","Pittsfield, MA","MA",2.25384701210887,"Pittsfield, MA",NA,NA
"MSA","Pocatello, ID","ID",5.88897083719128,"Pocatello, ID",NA,NA
"MSA","Port St. Lucie, FL","FL",3.74175032842873,"Port St. Lucie, FL",NA,NA
"MSA","Portland, ME","ME",3.01197951619405,"Portland, ME",NA,NA
"MSA","Portland, OR","OR",3.69164334576816,"Portland, OR",NA,NA
"MSA","Prescott, AZ","AZ",1.95583343960547,"Prescott, AZ",NA,NA
"MSA","Providence, RI","RI",3.78024128333523,"Providence, RI",NA,NA
"MSA","Provo, UT","UT",1.53187038631712,"Provo, UT",NA,NA
"MSA","Pueblo, CO","CO",5.29314993673903,"Pueblo, CO",NA,NA
"MSA","Punta Gorda, FL","FL",1.78857598372101,"Punta Gorda, FL",NA,NA
"MSA","Racine, WI","WI",4.03036739148,"Racine, WI",NA,NA
"MSA","Raleigh, NC","NC",3.50566293795604,"Raleigh, NC",NA,NA
"MSA","Reading, PA","PA",2.8126212419891,"Reading, PA",NA,NA
