"Nombres","","",""
"Nombre","Sexo","Origen y Comentarios",""
"Listado de nombres aprobados por el Registro Civil","","",""
"Aaron","M","",""
"Aaronit","M","",""
"Aba","F","",""
"Abaco","M","",""
"Abalen","M","",""
"Abbas","M","",""
"Abbie","F","",""
"Abbott","M","",""
"Abby","F","",""
"Abdala","M","",""
"Abdas","M","",""
"Abdecalas","M","",""
"Abdel","M","",""
"Abderico","M","",""
"Abdias","M","",""
"Abdiel","M","",""
"Abdieso","M","",""
"Abdo","M","",""
"Abdon","M","ORIGEN:HEBREO---SIGNIFICADO: SIERVO DE DIOS,HIJO DE HILLE I, Y ORIUN-DO DE PIRATON----GENERO:MASCULINO.",""
"Abdul","M","ORIGEN:ARABE---SIGNIFICADO; SIERVO DE DIOS.----GENERO:MASCULINO",""
"Abdullah","M","",""
"Abe","M","",""
"Abel","M","",""
"Abelardo","M","ORIGEN:FRANCES---SIGNIFICADO:SEMEJANTE A LA ABEJA,RELACION HECHA PORLA LABORIOSIDAD DEL ANIMALITO,EL GRAN TRABAJADOR,VARIACION DE EBERARDONOMBRE:COMUN----GENERO:MASCULINO",""
"Abenamar","M","",""
"Abencio","M","",""
"Abeni","F","",""
"Aberardo","M","",""
"Abercio","M","ORIGEN:GRIEGO---SIGNIFICADO: EL PRIMER HIJO----GENERO:MASCULINO",""
"Abey","M","",""
"Abhay","M","",""
"Abi","A","",""
"Abia","F","",""
"Abibo","M","",""
"Abibon","M","",""
"Abie","M","",""
"Abiel","M","",""
"Abigail","F","",""
"Abijah","M","",""
"Abijail","F","",""
"Abilio","M","",""
"Abimael","M","",""
"Abira","F","",""
"Abisai","M","",""
"Abner","M","ORIGEN :HEBREO----SIGNIFICADO: EL PADRE (DIOS),HIJO DE NER,DE LA TRIBUDE BENJAMIN,POR LO TANTO SOBRINO DE SAUL. A SU MUERTE DAVID LE DEDICOUNA HERMOSA LAMENTACION---GENERO:MASCULINO.",""
"Abra","F","",""
"Abraham","M","ORIGEN:HEBREO---SIGNIFICADO:EL PADRE (DIOS) ES EXCELSO,EL PADRE DEMUCHOS PUEBLOS,SE LO LLAMA "" EL HEBREO"" LO QUE SEGUN LA GENEALOGIA BI-BLICA SIGNIFICA DESCENDIENTE DE EBER---NOMBRE:COMUN---GENERO:MASCULINO",""
"Abrahamitas","M","",""
"Abrahan","M","",""
"Abram","M","",""
"Abran","M","",""
"Abril","F","ORIGEN:PROBABLEMENTE ETRUSCO---SIGNIFICADO: DEL LATIN ""APRILIS"".",""
"Abryl","F","",""
"Absalon","M","ORIGEN:HEBREO----SIGNIFICADO: PADRE Y SE¥OR DE LA PAZ---GENERO:MASCULINO.",""
"Abu","M","",""
"Abudemio","M","",""
"Abundancio","M","ORIGEN:LATINO----SIGNIFICADO: RICO,ACAUDALADO---GENERO:MASCULINO",""
"Abundio","M","ORIGEN:LATINO---SIGNIFICADO: QUE TIENE MUCHOS BIENES. PERSONAJE DE LANOVELA ""LOS NOVIOS"" DEL ESCRITOR ITALIANO ALEJANDRO MANZONI.GENERO:MASCULINO.",""
"Acabi","F","",""
"Acacia","F","",""
"Acacio","M","ORIGEN:GRIEGO---SIGNIFICADO: SIN MALICIA,HONRADO,INOCENTE. LO LLEVARONALGUNOS SANTOS ORIENTALES-----GENERO:MASCULINO----VARIACION DE GENERO:ACACIA",""
"Acañir","A","",""
"Acantha","F","",""
"Acaropita","F","",""
"Acato","M","",""
"Accalia","F","",""
"Accas","M","",""
"Accio","M","",""
"Acdel","M","",""
"Ace","M","",""
"Acelin","M","",""
"Acepimas","M","",""
"Acilino","M","",""
"Acindino","M","",""
"Acira","F","",""
"Acisclo","M","ORIGEN LATINO---SIGNIFICADO:DEL LATIN ""ACISCULUS"",PICO PARA LABRARPIEDRAS---GENERO:MASCULINO.",""
"Ackerley","M","",""
"Acnin","A","",""
"Acucio","M","",""
"Acursio","M","ORIGEN:LATINO---SIGNIFICADO: EL QUE SE ENCAMINA HACIA DIOS---GENERO:MASCULINO.",""
"Ada","F","ORIGEN:HEBREO---SIGNIFICADO: DIOS TE HA ORDENADO. UNA DE LAS ESPOSASDE LAMEK,MADRE DE YABAL----NOMBRE:COMUN---GENERO: FEMENINO.",""
"Adabella","F","",""
"Adah","F","",""
"Adair","M","",""
"Adala","M","",""
"Adalberto","M","ORIGEN:GODO----SIGNIFICADO; HOMBRE NOBLE,EL BRILLO DE LA NOBLEZA.TIENE COMO VARIEDAD A ""EDELBERTO"".----NOMBRE:COMUN----GENERO:MASCULINO",""
"Adalgisa","F","ORIGEN:GERMANICO---SIGNIFICADO: LANZA DE NOBLE---- GENERO:FEMENINO---VARIACION DE GENERO:ADALGISO.",""
"Adalia","F","",""
"Adalid","M","",""
"Adalino","M","",""
"Adalis","F","",""
"Adam","M","",""
"Adamina","F","",""
"Adamnan","M","",""
"Adamo","M","",""
"Adan","M","ORIGEN:HEBREO---SIGNIFICADO: DE TIERRA,RARA VEZ MENCIONADO EN EL ANTI-GUO TESTAMNETO,NOMBRE DEL PRIMER HOMBRE,EN EL NUEVO TESTAMENTO,LUCASLO MENCIONA COMO ASCENDIENTE DE JESUS---NOMBRE:COMUN--GENERO:MASCULINO",""
"Adaobi","F","",""
"Adara","F","",""
"Adauco","M","",""
"Adaucto","M","ORIGEN:LATINO---SIGNIFICADO: DEL LATIN ""ADAUCTUS"",AUMENTO ACRECENTA-MIENTO---GENERO:MASCULINO.",""
"Adbeel","M","",""
"Adbi","M","",""
"Addie","F","",""
"Addis","F","",""
"Addison","M","",""
"Ade","M","",""
"Adel","M","",""
"Adela","F","ORIGEN:GERMANICO----SIGNIFICADO:MADRE DE LA PRINCESA NOBLE,INSTITUTRIZO DIRECTORA DE LA PRINCESA NOBLE,ALGUNOS ESTUDIOSOS LO DAN COMO UNAVARIEDAD DE ADELAIDA,COSA QUE NO COMPARTEN OTROS---NOMBRE:COMUN----",""
"Adelaida","F","ORIGEN:GERMANICO---SIGNIFICADO:DE ORIGEN NOBLE,HIJA DE ILUSTRE,PRINCESA NOBLE---NOMBRE:COMUN---GENERO:FEMENINO.",""
"Adelaide","F","",""
"Adelardo","M","ORIGEN:GERMANICO---SIGNIFICADO: MUY NOBLE,VARIANTE DE ALARDO---GENERO:MASCULINO",""
"Adelberto","M","",""
"Adelburga","F","",""
"Adele","F","",""
"Adelfa","F","ORIGEN:GRIEGO---SIGNIFICADO:EL AMIGO FRATERNO.",""
"Adelfo","M","ORIGEN:GRIEGO---SIGNIFICADO EL AMIGO FRATERNO",""
"Adelgiro","M","",""
"Adelia","F","SIGNIFICADO:VARIANTE DE ADELA---GENERO:FEMENINO",""
"Adelina","F","ORIGEN:GERMANICO---SIGNIFICADO: VARIEDAD DE "" ADELAIDA""---NOMBRE:COMUNGENERO: FEMENINO.",""
"Adeline","F","",""
"Adelino","M","",""
"Adelio","M","",""
"Adelle","F","",""
"Adelma","F","",""
"Adelmar","M","",""
"Adelmo","M","",""
"Adelqui","M","",""
"Adem","M","",""
"Ademar","M","ORIGEN:TEUTON----SIGNIFICADO: VARIANTE DE ADELMARO,EL PRIMER OBISPO DEPADERBORN EN WESTFALIA (SIGLOS VIII-IX) EL FAMOSO COMBATIENTE---GENERO: MASCULINO",""
"Ademaro","M","",""
"Ademia","F","",""
"Adena","F","",""
"Aderes","M","",""
"Aderito","M","",""
"Adhelma","F","",""
"Adhemar","M","",""
"Adi","M","",""
"Adib","M","",""
"Adiel","M","ORIGEN:HEBREO----SIGNIFICADO: ADORNADO POR DIOS,PERSONAJE BIBLICO,DES-CENDIENTE DE SIMEON---GENERO:MASCULINO.-=",""
"Adil","M","",""
"Adila","F","",""
"Adilson","M","",""
"Adina","F","",""
"Adiran","M","",""
"Adita","F","",""
"Aditardo","M","",""
"Aditi","F","",""
"Adiva","F","",""
"Adlai","M","",""
"Adley","M","",""
"Admon","M","",""
"Ado","M","",""
"Adolfina","F","",""
